"","name","description","page"
"135","illumina_humanht_12_v3","ILLUMINA HumanHT 12 V3 probe","feature_page"
"136","illumina_humanht_12_v4","ILLUMINA HumanHT 12 V4 probe","feature_page"
"137","illumina_humanref_8_v3","ILLUMINA HumanRef 8 V3 probe","feature_page"
"138","illumina_humanwg_6_v1","ILLUMINA HumanWG 6 V1 probe","feature_page"
"139","illumina_humanwg_6_v2","ILLUMINA HumanWG 6 V2 probe","feature_page"
"140","illumina_humanwg_6_v3","ILLUMINA HumanWG 6 V3 probe","feature_page"
"141","phalanx_onearray","PHALANX OneArray probe","feature_page"
"142","cdd","CDD ID","feature_page"
"143","cdd_start","CDD start","feature_page"
"144","cdd_end","CDD end","feature_page"
"145","gene3d","Gene3D ID","feature_page"
"146","gene3d_start","Gene3D start","feature_page"
"147","gene3d_end","Gene3D end","feature_page"
"148","hamap","HAMAP ID","feature_page"
"149","hamap_start","HAMAP start","feature_page"
"150","hamap_end","HAMAP end","feature_page"
"151","hmmpanther","PANTHER ID","feature_page"
"152","hmmpanther_start","PANTHER start","feature_page"
"153","hmmpanther_end","PANTHER end","feature_page"
"154","pfam","Pfam ID","feature_page"
"155","pfam_start","Pfam start","feature_page"
"156","pfam_end","Pfam end","feature_page"
"157","pirsf","PIRSF ID","feature_page"
"158","pirsf_start","PIRSF start","feature_page"
"159","pirsf_end","PIRSF end","feature_page"
"160","prints","Prints ID","feature_page"
"161","prints_start","Prints start","feature_page"
"162","prints_end","Prints end","feature_page"
"163","scanprosite","PROSITE patterns ID","feature_page"
"164","scanprosite_start","PROSITE patterns start","feature_page"
"165","scanprosite_end","PROSITE patterns end","feature_page"
"166","pfscan","PROSITE profiles ID","feature_page"
"167","pfscan_start","PROSITE profiles start","feature_page"
"168","pfscan_end","PROSITE profiles end","feature_page"
"169","sfld","SFLD ID","feature_page"
"170","sfld_start","SFLD start","feature_page"
"171","sfld_end","SFLD end","feature_page"
"172","smart","SMART ID","feature_page"
"173","smart_start","SMART start","feature_page"
"174","smart_end","SMART end","feature_page"
"175","superfamily","Superfamily ID","feature_page"
"176","superfamily_start","Superfamily start","feature_page"
"177","superfamily_end","Superfamily end","feature_page"
"178","tigrfam","TIGRFAM ID","feature_page"
"179","tigrfam_start","TIGRFAM start","feature_page"
"180","tigrfam_end","TIGRFAM end","feature_page"
"181","interpro","Interpro ID","feature_page"
"182","interpro_short_description","Interpro Short Description","feature_page"
"183","interpro_description","Interpro Description","feature_page"
"184","interpro_start","Interpro start","feature_page"
"185","interpro_end","Interpro end","feature_page"
"186","mobidblite","MobiDB lite","feature_page"
"187","mobidblite_start","MobiDB lite start","feature_page"
"188","mobidblite_end","MobiDB lite end","feature_page"
"189","ncoils","Coiled-coils (Ncoils)","feature_page"
"190","ncoils_start","Coiled-coils (Ncoils) start","feature_page"
"191","ncoils_end","Coiled-coils (Ncoils) end","feature_page"
"192","seg","Low complexity (Seg)","feature_page"
"193","seg_start","Low complexity (Seg) start","feature_page"
"194","seg_end","Low complexity (Seg) end","feature_page"
"195","sifts_import","PDB-ENSP mappings","feature_page"
"196","sifts_import_start","PDB-ENSP mappings start","feature_page"
"197","sifts_import_end","PDB-ENSP mappings end","feature_page"
"198","signalp","Cleavage site (Signalp)","feature_page"
"199","signalp_start","Cleavage site (Signalp) start","feature_page"
"200","signalp_end","Cleavage site (Signalp) end","feature_page"
"201","tmhmm","Transmembrane helices","feature_page"
"202","tmhmm_start","Transmembrane helices start","feature_page"
"203","tmhmm_end","Transmembrane helices end","feature_page"
"204","ensembl_gene_id","Gene stable ID","structure"
"205","ensembl_gene_id_version","Gene stable ID version","structure"
"206","version","Version (gene)","structure"
"207","ensembl_transcript_id","Transcript stable ID","structure"
"208","ensembl_transcript_id_version","Transcript stable ID version","structure"
"209","transcript_version","Version (transcript)","structure"
"210","ensembl_peptide_id","Protein stable ID","structure"
"211","ensembl_peptide_id_version","Protein stable ID version","structure"
"212","peptide_version","Version (protein)","structure"
"213","chromosome_name","Chromosome/scaffold name","structure"
"214","start_position","Gene start (bp)","structure"
"215","end_position","Gene end (bp)","structure"
"216","transcript_start","Transcript start (bp)","structure"
"217","transcript_end","Transcript end (bp)","structure"
"218","transcription_start_site","Transcription start site (TSS)","structure"
"219","transcript_length","Transcript length (including UTRs and CDS)","structure"
"220","strand","Strand","structure"
"221","external_gene_name","Gene name","structure"
"222","external_gene_source","Source of gene name","structure"
"223","5_utr_start","5' UTR start","structure"
"224","5_utr_end","5' UTR end","structure"
"225","3_utr_start","3' UTR start","structure"
"226","3_utr_end","3' UTR end","structure"
"227","cds_length","CDS Length","structure"
"228","transcript_count","Transcript count","structure"
"229","description","Gene description","structure"
"230","gene_biotype","Gene type","structure"
"231","exon_chrom_start","Exon region start (bp)","structure"
"232","exon_chrom_end","Exon region end (bp)","structure"
"233","is_constitutive","Constitutive exon","structure"
"234","rank","Exon rank in transcript","structure"
"235","phase","Start phase","structure"
"236","end_phase","End phase","structure"
"237","cdna_coding_start","cDNA coding start","structure"
"238","cdna_coding_end","cDNA coding end","structure"
"239","genomic_coding_start","Genomic coding start","structure"
"240","genomic_coding_end","Genomic coding end","structure"
"241","ensembl_exon_id","Exon stable ID","structure"
"242","cds_start","CDS start","structure"
"243","cds_end","CDS end","structure"
"244","ensembl_gene_id","Gene stable ID","homologs"
"245","ensembl_gene_id_version","Gene stable ID version","homologs"
"246","version","Version (gene)","homologs"
"247","ensembl_transcript_id","Transcript stable ID","homologs"
"248","ensembl_transcript_id_version","Transcript stable ID version","homologs"
"249","transcript_version","Version (transcript)","homologs"
"250","ensembl_peptide_id","Protein stable ID","homologs"
"251","ensembl_peptide_id_version","Protein stable ID version","homologs"
"252","peptide_version","Version (protein)","homologs"
"253","chromosome_name","Chromosome/scaffold name","homologs"
"254","start_position","Gene start (bp)","homologs"
"255","end_position","Gene end (bp)","homologs"
"256","strand","Strand","homologs"
"257","band","Karyotype band","homologs"
"258","external_gene_name","Gene name","homologs"
"259","external_gene_source","Source of gene name","homologs"
"260","transcript_count","Transcript count","homologs"
"261","percentage_gene_gc_content","Gene % GC content","homologs"
"262","description","Gene description","homologs"
"263","cabingdonii_homolog_ensembl_gene","Abingdon island giant tortoise gene stable ID","homologs"
"264","cabingdonii_homolog_associated_gene_name","Abingdon island giant tortoise gene name","homologs"
"265","cabingdonii_homolog_ensembl_peptide","Abingdon island giant tortoise protein or transcript stable ID","homologs"
"266","cabingdonii_homolog_chromosome","Abingdon island giant tortoise chromosome/scaffold name","homologs"
"267","cabingdonii_homolog_chrom_start","Abingdon island giant tortoise chromosome/scaffold start (bp)","homologs"
"268","cabingdonii_homolog_chrom_end","Abingdon island giant tortoise chromosome/scaffold end (bp)","homologs"
"269","cabingdonii_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"270","cabingdonii_homolog_subtype","Last common ancestor with Abingdon island giant tortoise","homologs"
"271","cabingdonii_homolog_orthology_type","Abingdon island giant tortoise homology type","homologs"
"272","cabingdonii_homolog_perc_id","%id. target Abingdon island giant tortoise gene identical to query gene","homologs"
"273","cabingdonii_homolog_perc_id_r1","%id. query gene identical to target Abingdon island giant tortoise gene","homologs"
"274","cabingdonii_homolog_goc_score","Abingdon island giant tortoise Gene-order conservation score","homologs"
"275","cabingdonii_homolog_wga_coverage","Abingdon island giant tortoise Whole-genome alignment coverage","homologs"
"276","cabingdonii_homolog_orthology_confidence","Abingdon island giant tortoise orthology confidence [0 low, 1 high]","homologs"
"277","scaustralis_homolog_ensembl_gene","African ostrich gene stable ID","homologs"
"278","scaustralis_homolog_associated_gene_name","African ostrich gene name","homologs"
"279","scaustralis_homolog_ensembl_peptide","African ostrich protein or transcript stable ID","homologs"
"280","scaustralis_homolog_chromosome","African ostrich chromosome/scaffold name","homologs"
"281","scaustralis_homolog_chrom_start","African ostrich chromosome/scaffold start (bp)","homologs"
"282","scaustralis_homolog_chrom_end","African ostrich chromosome/scaffold end (bp)","homologs"
"283","scaustralis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"284","scaustralis_homolog_subtype","Last common ancestor with African ostrich","homologs"
"285","scaustralis_homolog_orthology_type","African ostrich homology type","homologs"
"286","scaustralis_homolog_perc_id","%id. target African ostrich gene identical to query gene","homologs"
"287","scaustralis_homolog_perc_id_r1","%id. query gene identical to target African ostrich gene","homologs"
"288","scaustralis_homolog_goc_score","African ostrich Gene-order conservation score","homologs"
"289","scaustralis_homolog_wga_coverage","African ostrich Whole-genome alignment coverage","homologs"
"290","scaustralis_homolog_orthology_confidence","African ostrich orthology confidence [0 low, 1 high]","homologs"
"291","mspretus_homolog_ensembl_gene","Algerian mouse gene stable ID","homologs"
"292","mspretus_homolog_associated_gene_name","Algerian mouse gene name","homologs"
"293","mspretus_homolog_ensembl_peptide","Algerian mouse protein or transcript stable ID","homologs"
"294","mspretus_homolog_chromosome","Algerian mouse chromosome/scaffold name","homologs"
"295","mspretus_homolog_chrom_start","Algerian mouse chromosome/scaffold start (bp)","homologs"
"296","mspretus_homolog_chrom_end","Algerian mouse chromosome/scaffold end (bp)","homologs"
"297","mspretus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"298","mspretus_homolog_subtype","Last common ancestor with Algerian mouse","homologs"
"299","mspretus_homolog_orthology_type","Algerian mouse homology type","homologs"
"300","mspretus_homolog_perc_id","%id. target Algerian mouse gene identical to query gene","homologs"
"301","mspretus_homolog_perc_id_r1","%id. query gene identical to target Algerian mouse gene","homologs"
"302","mspretus_homolog_goc_score","Algerian mouse Gene-order conservation score","homologs"
"303","mspretus_homolog_wga_coverage","Algerian mouse Whole-genome alignment coverage","homologs"
"304","mspretus_homolog_orthology_confidence","Algerian mouse orthology confidence [0 low, 1 high]","homologs"
"305","vpacos_homolog_ensembl_gene","Alpaca gene stable ID","homologs"
"306","vpacos_homolog_associated_gene_name","Alpaca gene name","homologs"
"307","vpacos_homolog_ensembl_peptide","Alpaca protein or transcript stable ID","homologs"
"308","vpacos_homolog_chromosome","Alpaca chromosome/scaffold name","homologs"
"309","vpacos_homolog_chrom_start","Alpaca chromosome/scaffold start (bp)","homologs"
"310","vpacos_homolog_chrom_end","Alpaca chromosome/scaffold end (bp)","homologs"
"311","vpacos_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"312","vpacos_homolog_subtype","Last common ancestor with Alpaca","homologs"
"313","vpacos_homolog_orthology_type","Alpaca homology type","homologs"
"314","vpacos_homolog_perc_id","%id. target Alpaca gene identical to query gene","homologs"
"315","vpacos_homolog_perc_id_r1","%id. query gene identical to target Alpaca gene","homologs"
"316","vpacos_homolog_goc_score","Alpaca Gene-order conservation score","homologs"
"317","vpacos_homolog_wga_coverage","Alpaca Whole-genome alignment coverage","homologs"
"318","vpacos_homolog_orthology_confidence","Alpaca orthology confidence [0 low, 1 high]","homologs"
"319","mmmarmota_homolog_ensembl_gene","Alpine marmot gene stable ID","homologs"
"320","mmmarmota_homolog_associated_gene_name","Alpine marmot gene name","homologs"
"321","mmmarmota_homolog_ensembl_peptide","Alpine marmot protein or transcript stable ID","homologs"
"322","mmmarmota_homolog_chromosome","Alpine marmot chromosome/scaffold name","homologs"
"323","mmmarmota_homolog_chrom_start","Alpine marmot chromosome/scaffold start (bp)","homologs"
"324","mmmarmota_homolog_chrom_end","Alpine marmot chromosome/scaffold end (bp)","homologs"
"325","mmmarmota_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"326","mmmarmota_homolog_subtype","Last common ancestor with Alpine marmot","homologs"
"327","mmmarmota_homolog_orthology_type","Alpine marmot homology type","homologs"
"328","mmmarmota_homolog_perc_id","%id. target Alpine marmot gene identical to query gene","homologs"
"329","mmmarmota_homolog_perc_id_r1","%id. query gene identical to target Alpine marmot gene","homologs"
"330","mmmarmota_homolog_goc_score","Alpine marmot Gene-order conservation score","homologs"
"331","mmmarmota_homolog_wga_coverage","Alpine marmot Whole-genome alignment coverage","homologs"
"332","mmmarmota_homolog_orthology_confidence","Alpine marmot orthology confidence [0 low, 1 high]","homologs"
"333","pformosa_homolog_ensembl_gene","Amazon molly gene stable ID","homologs"
"334","pformosa_homolog_associated_gene_name","Amazon molly gene name","homologs"
"335","pformosa_homolog_ensembl_peptide","Amazon molly protein or transcript stable ID","homologs"
"336","pformosa_homolog_chromosome","Amazon molly chromosome/scaffold name","homologs"
"337","pformosa_homolog_chrom_start","Amazon molly chromosome/scaffold start (bp)","homologs"
"338","pformosa_homolog_chrom_end","Amazon molly chromosome/scaffold end (bp)","homologs"
"339","pformosa_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"340","pformosa_homolog_subtype","Last common ancestor with Amazon molly","homologs"
"341","pformosa_homolog_orthology_type","Amazon molly homology type","homologs"
"342","pformosa_homolog_perc_id","%id. target Amazon molly gene identical to query gene","homologs"
"343","pformosa_homolog_perc_id_r1","%id. query gene identical to target Amazon molly gene","homologs"
"344","pformosa_homolog_goc_score","Amazon molly Gene-order conservation score","homologs"
"345","pformosa_homolog_wga_coverage","Amazon molly Whole-genome alignment coverage","homologs"
"346","pformosa_homolog_orthology_confidence","Amazon molly orthology confidence [0 low, 1 high]","homologs"
"347","bbbison_homolog_ensembl_gene","American bison gene stable ID","homologs"
"348","bbbison_homolog_associated_gene_name","American bison gene name","homologs"
"349","bbbison_homolog_ensembl_peptide","American bison protein or transcript stable ID","homologs"
"350","bbbison_homolog_chromosome","American bison chromosome/scaffold name","homologs"
"351","bbbison_homolog_chrom_start","American bison chromosome/scaffold start (bp)","homologs"
"352","bbbison_homolog_chrom_end","American bison chromosome/scaffold end (bp)","homologs"
"353","bbbison_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"354","bbbison_homolog_subtype","Last common ancestor with American bison","homologs"
"355","bbbison_homolog_orthology_type","American bison homology type","homologs"
"356","bbbison_homolog_perc_id","%id. target American bison gene identical to query gene","homologs"
"357","bbbison_homolog_perc_id_r1","%id. query gene identical to target American bison gene","homologs"
"358","bbbison_homolog_goc_score","American bison Gene-order conservation score","homologs"
"359","bbbison_homolog_wga_coverage","American bison Whole-genome alignment coverage","homologs"
"360","bbbison_homolog_orthology_confidence","American bison orthology confidence [0 low, 1 high]","homologs"
"361","uamericanus_homolog_ensembl_gene","American black bear gene stable ID","homologs"
"362","uamericanus_homolog_associated_gene_name","American black bear gene name","homologs"
"363","uamericanus_homolog_ensembl_peptide","American black bear protein or transcript stable ID","homologs"
"364","uamericanus_homolog_chromosome","American black bear chromosome/scaffold name","homologs"
"365","uamericanus_homolog_chrom_start","American black bear chromosome/scaffold start (bp)","homologs"
"366","uamericanus_homolog_chrom_end","American black bear chromosome/scaffold end (bp)","homologs"
"367","uamericanus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"368","uamericanus_homolog_subtype","Last common ancestor with American black bear","homologs"
"369","uamericanus_homolog_orthology_type","American black bear homology type","homologs"
"370","uamericanus_homolog_perc_id","%id. target American black bear gene identical to query gene","homologs"
"371","uamericanus_homolog_perc_id_r1","%id. query gene identical to target American black bear gene","homologs"
"372","uamericanus_homolog_goc_score","American black bear Gene-order conservation score","homologs"
"373","uamericanus_homolog_wga_coverage","American black bear Whole-genome alignment coverage","homologs"
"374","uamericanus_homolog_orthology_confidence","American black bear orthology confidence [0 low, 1 high]","homologs"
"375","nvison_homolog_ensembl_gene","American mink gene stable ID","homologs"
"376","nvison_homolog_associated_gene_name","American mink gene name","homologs"
"377","nvison_homolog_ensembl_peptide","American mink protein or transcript stable ID","homologs"
"378","nvison_homolog_chromosome","American mink chromosome/scaffold name","homologs"
"379","nvison_homolog_chrom_start","American mink chromosome/scaffold start (bp)","homologs"
"380","nvison_homolog_chrom_end","American mink chromosome/scaffold end (bp)","homologs"
"381","nvison_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"382","nvison_homolog_subtype","Last common ancestor with American mink","homologs"
"383","nvison_homolog_orthology_type","American mink homology type","homologs"
"384","nvison_homolog_perc_id","%id. target American mink gene identical to query gene","homologs"
"385","nvison_homolog_perc_id_r1","%id. query gene identical to target American mink gene","homologs"
"386","nvison_homolog_goc_score","American mink Gene-order conservation score","homologs"
"387","nvison_homolog_wga_coverage","American mink Whole-genome alignment coverage","homologs"
"388","nvison_homolog_orthology_confidence","American mink orthology confidence [0 low, 1 high]","homologs"
"389","cdromedarius_homolog_ensembl_gene","Arabian camel gene stable ID","homologs"
"390","cdromedarius_homolog_associated_gene_name","Arabian camel gene name","homologs"
"391","cdromedarius_homolog_ensembl_peptide","Arabian camel protein or transcript stable ID","homologs"
"392","cdromedarius_homolog_chromosome","Arabian camel chromosome/scaffold name","homologs"
"393","cdromedarius_homolog_chrom_start","Arabian camel chromosome/scaffold start (bp)","homologs"
"394","cdromedarius_homolog_chrom_end","Arabian camel chromosome/scaffold end (bp)","homologs"
"395","cdromedarius_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"396","cdromedarius_homolog_subtype","Last common ancestor with Arabian camel","homologs"
"397","cdromedarius_homolog_orthology_type","Arabian camel homology type","homologs"
"398","cdromedarius_homolog_perc_id","%id. target Arabian camel gene identical to query gene","homologs"
"399","cdromedarius_homolog_perc_id_r1","%id. query gene identical to target Arabian camel gene","homologs"
"400","cdromedarius_homolog_goc_score","Arabian camel Gene-order conservation score","homologs"
"401","cdromedarius_homolog_wga_coverage","Arabian camel Whole-genome alignment coverage","homologs"
"402","cdromedarius_homolog_orthology_confidence","Arabian camel orthology confidence [0 low, 1 high]","homologs"
"403","uparryii_homolog_ensembl_gene","Arctic ground squirrel gene stable ID","homologs"
"404","uparryii_homolog_associated_gene_name","Arctic ground squirrel gene name","homologs"
"405","uparryii_homolog_ensembl_peptide","Arctic ground squirrel protein or transcript stable ID","homologs"
"406","uparryii_homolog_chromosome","Arctic ground squirrel chromosome/scaffold name","homologs"
"407","uparryii_homolog_chrom_start","Arctic ground squirrel chromosome/scaffold start (bp)","homologs"
"408","uparryii_homolog_chrom_end","Arctic ground squirrel chromosome/scaffold end (bp)","homologs"
"409","uparryii_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"410","uparryii_homolog_subtype","Last common ancestor with Arctic ground squirrel","homologs"
"411","uparryii_homolog_orthology_type","Arctic ground squirrel homology type","homologs"
"412","uparryii_homolog_perc_id","%id. target Arctic ground squirrel gene identical to query gene","homologs"
"413","uparryii_homolog_perc_id_r1","%id. query gene identical to target Arctic ground squirrel gene","homologs"
"414","uparryii_homolog_goc_score","Arctic ground squirrel Gene-order conservation score","homologs"
"415","uparryii_homolog_wga_coverage","Arctic ground squirrel Whole-genome alignment coverage","homologs"
"416","uparryii_homolog_orthology_confidence","Arctic ground squirrel orthology confidence [0 low, 1 high]","homologs"
"417","smerianae_homolog_ensembl_gene","Argentine black and white tegu gene stable ID","homologs"
"418","smerianae_homolog_associated_gene_name","Argentine black and white tegu gene name","homologs"
"419","smerianae_homolog_ensembl_peptide","Argentine black and white tegu protein or transcript stable ID","homologs"
"420","smerianae_homolog_chromosome","Argentine black and white tegu chromosome/scaffold name","homologs"
"421","smerianae_homolog_chrom_start","Argentine black and white tegu chromosome/scaffold start (bp)","homologs"
"422","smerianae_homolog_chrom_end","Argentine black and white tegu chromosome/scaffold end (bp)","homologs"
"423","smerianae_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"424","smerianae_homolog_subtype","Last common ancestor with Argentine black and white tegu","homologs"
"425","smerianae_homolog_orthology_type","Argentine black and white tegu homology type","homologs"
"426","smerianae_homolog_perc_id","%id. target Argentine black and white tegu gene identical to query gene","homologs"
"427","smerianae_homolog_perc_id_r1","%id. query gene identical to target Argentine black and white tegu gene","homologs"
"428","smerianae_homolog_goc_score","Argentine black and white tegu Gene-order conservation score","homologs"
"429","smerianae_homolog_wga_coverage","Argentine black and white tegu Whole-genome alignment coverage","homologs"
"430","smerianae_homolog_orthology_confidence","Argentine black and white tegu orthology confidence [0 low, 1 high]","homologs"
"431","dnovemcinctus_homolog_ensembl_gene","Armadillo gene stable ID","homologs"
