Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,Ethnicity,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue
SRR8652094,77,WGS,GCA_000001405.13,202,128306179816,DSMZ:KYSE-70,PRJNA523380,SAMN10988277,Human,62036724661,KYSE-70,BROAD INSTITUTE,public,"sra,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5449806,Illumina HiSeq 2000,cell line,WGS-KYSE70_OESOPHAGUS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,KYSE70_OESOPHAGUS,cell culture,male,SRP186687,oesophagus
SRR8652096,59,WGS,GCA_000001405.13,202,104375519182,GNF,PRJNA523380,SAMN10987615,Human,49893242315,KYSE-450,BROAD INSTITUTE,public,"bam,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Asian,SRX5449804,Illumina HiSeq 2000,cell line,WGS-KYSE450_OESOPHAGUS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,KYSE450_OESOPHAGUS,cell culture,male,SRP186687,oesophagus
SRR8652106,63,WGS,GCA_000001405.13,202,121984594664,HSRRB,PRJNA523380,SAMN10987825,Human,52004420169,LU99,BROAD INSTITUTE,public,"bam,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",carcinoma (large_cell_carcinoma),metastasis,Asian,SRX5449794,Illumina HiSeq 2000,cell line,WGS-LU99_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,LU99_LUNG,cell culture,male,SRP186687,lung
SRR8652107,51,WGS,GCA_000001405.13,202,115294424556,ATCC:MDA-MB-231,PRJNA523380,SAMN10987764,Human,56675927756,MDA-MB-231,BROAD INSTITUTE,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",carcinoma,metastasis,Caucasian,SRX5449793,Illumina HiSeq 2000,cell line,WGS-MDAMB231_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,MDAMB231_BREAST,cell culture,female,SRP186687,breast
SRR8652114,44,WGS,GCA_000001405.13,202,122962997824,NIBRI,PRJNA523380,SAMN10988348,Human,63198999309,HT-29,BROAD INSTITUTE,public,"bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",carcinoma (adenocarcinoma),primary,Caucasian,SRX5449786,Illumina HiSeq 2000,cell line,WGS-HT29_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HT29_LARGE_INTESTINE,cell culture,female,SRP186687,large_intestine
SRR8652117,51,WGS,GCA_000001405.13,202,103585387900,NIBRI,PRJNA523380,SAMN10988352,Human,52005744467,Hs 944.T,BROAD INSTITUTE,public,"bam,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,metastasis,Caucasian,SRX5449783,Illumina HiSeq 2000,cell line,WGS-HS944T_SKIN,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HS944T_SKIN,cell culture,male,SRP186687,skin
SRR8652121,81,WGS,GCA_000001405.13,202,118512923684,NIBRI,PRJNA523380,SAMN10987796,Human,59921779057,MFE-319,BROAD INSTITUTE,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",carcinoma (adenocarcinoma),primary,Caucasian,SRX5449779,Illumina HiSeq 2000,cell line,WGS-MFE319_ENDOMETRIUM,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,MFE319_ENDOMETRIUM,cell culture,female,SRP186687,endometrium
SRR8652125,40,WGS,GCA_000001405.13,202,118867115938,ATCC:MDA-MB-361,PRJNA523380,SAMN10987900,Human,61766306370,MDA-MB-361,BROAD INSTITUTE,public,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",carcinoma,metastasis,Caucasian,SRX5449775,Illumina HiSeq 2000,cell line,WGS-MDAMB361_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,MDAMB361_BREAST,cell culture,female,SRP186687,breast
SRR8652137,42,WGS,GCA_000001405.13,202,124558605924,ATCC:NCI-H1184,PRJNA523380,SAMN10987606,Human,66399167924,NCI-H1184,BROAD INSTITUTE,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5449763,Illumina HiSeq 2000,cell line,WGS-NCIH1184_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH1184_LUNG,cell culture,male,SRP186687,lung
SRR8652144,53,WGS,GCA_000001405.13,202,107699952766,ATCC:NCI-H1355,PRJNA523380,SAMN10987956,Human,57524182009,NCI-H1355,BROAD INSTITUTE,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5449756,Illumina HiSeq 2000,cell line,WGS-NCIH1355_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH1355_LUNG,cell culture,male,SRP186687,lung
SRR8639140,68,WGS,GCA_000001405.13,202,128941140152,NA,PRJNA523380,SAMN10987658,Human,70013356283,5637,BROAD INSTITUTE,public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",carcinoma,primary,Asian,SRX5437593,Illumina HiSeq 2000,cell line,WGS-5637_URINARY_TRACT,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,5637_URINARY_TRACT,cell culture,male,SRP186687,urinary_tract
SRR8639141,30,WGS,GCA_000001405.13,202,126972717216,NIBRI,PRJNA523380,SAMN10987842,Human,59935011189,HEL 92.1.7,BROAD INSTITUTE,public,"sra,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M6)",primary,Caucasian,SRX5437592,Illumina HiSeq 2000,cell line,WGS-HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8639142,15,WGS,GCA_000001405.13,202,130135495856,NIBRI/ATCC,PRJNA523380,SAMN10988201,Human,66964959609,Hep G2,BROAD INSTITUTE,public,"bam,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",carcinoma (hepatocellular_carcinoma),primary,Caucasian,SRX5437591,Illumina HiSeq 2000,cell line,WGS-HEPG2_LIVER,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HEPG2_LIVER,cell culture,male,SRP186687,liver
SRR8639145,NA,WGS,GCA_000001405.13,202,129478858092,NIBRI,PRJNA523380,SAMN10988251,Human,64253140882,HCT 116,BROAD INSTITUTE,public,"bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",carcinoma,primary,Caucasian,SRX5437588,Illumina HiSeq 2000,cell line,WGS-HCT116_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCT116_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine
SRR8639146,NA,WGS,GCA_000001405.13,202,105319461748,NIBRI,PRJNA523380,SAMN10987770,Human,53800910987,HCT-15,BROAD INSTITUTE,public,"bam,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5437587,Illumina HiSeq 2000,cell line,WGS-HCT15_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCT15_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine
SRR8639152,69,WGS,GCA_000001405.13,202,130185990200,ATCC:DU 145,PRJNA523380,SAMN10988253,Human,70167611950,DU 145,BROAD INSTITUTE,public,"sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",carcinoma,metastasis,Caucasian,SRX5437581,Illumina HiSeq 2000,cell line,WGS-DU145_PROSTATE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,DU145_PROSTATE,cell culture,male,SRP186687,prostate
SRR8639155,46,WGS,GCA_000001405.13,202,130255231760,NIBRI,PRJNA523380,SAMN10988213,Human,60281214949,EFM-192A,BROAD INSTITUTE,public,"sra,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",carcinoma,metastasis,Caucasian,SRX5437578,Illumina HiSeq 2000,cell line,WGS-EFM192A_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,EFM192A_BREAST,cell culture,female,SRP186687,breast
SRR8639157,50,WGS,GCA_000001405.13,202,115116859284,ATCC:HCC38,PRJNA523380,SAMN10987659,Human,55029674135,HCC38,BROAD INSTITUTE,public,"bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",carcinoma (ductal_carcinoma),primary,Caucasian,SRX5437576,Illumina HiSeq 2000,cell line,WGS-HCC38_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCC38_BREAST,cell culture,female,SRP186687,breast
SRR8639160,82,WGS,GCA_000001405.13,202,134759525932,ATCC:HCC202,PRJNA523380,SAMN10988183,Human,65102186015,HCC202,BROAD INSTITUTE,public,"sra,bam","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),primary,Caucasian,SRX5437573,Illumina HiSeq 2000,cell line,WGS-HCC202_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCC202_BREAST,cell culture,female,SRP186687,breast
SRR8639162,24,WGS,GCA_000001405.13,202,147763628220,ATCC:HCC1937,PRJNA523380,SAMN10987920,Human,67146724160,HCC1937,BROAD INSTITUTE,public,"sra,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",carcinoma (ductal_carcinoma),primary,Caucasian,SRX5437571,Illumina HiSeq 2000,cell line,WGS-HCC1937_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCC1937_BREAST,cell culture,female,SRP186687,breast
SRR8639163,69,WGS,GCA_000001405.13,202,103495570014,KCLB:HCC-1833,PRJNA523380,SAMN10988044,Human,46165093517,HCC-1833,BROAD INSTITUTE,public,"bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",carcinoma (adenocarcinoma),primary,African_american,SRX5437570,Illumina HiSeq 2000,cell line,WGS-HCC1833_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCC1833_LUNG,cell culture,female,SRP186687,lung
SRR8639164,47,WGS,GCA_000001405.13,202,129046692424,DSMZ:HCC-15,PRJNA523380,SAMN10987789,Human,70364961770,HCC-15,BROAD INSTITUTE,public,"bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",carcinoma (squamous_cell_carcinoma),primary,African_american,SRX5437569,Illumina HiSeq 2000,cell line,WGS-HCC15_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HCC15_LUNG,cell culture,male,SRP186687,lung
SRR8639169,54,WGS,GCA_000001405.13,202,124087329622,NIBRI,PRJNA523380,SAMN10988305,Human,67927448500,AGS,BROAD INSTITUTE,public,"sra,bam","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5437564,Illumina HiSeq 2000,cell line,WGS-AGS_STOMACH,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,AGS_STOMACH,cell culture,female,SRP186687,stomach
SRR8639170,22,WGS,GCA_000001405.13,202,107987156366,ATCC:ACHN,PRJNA523380,SAMN10988309,Human,52064448017,ACHN,BROAD INSTITUTE,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (renal_cell_carcinoma),metastasis,Caucasian,SRX5437563,Illumina HiSeq 2000,cell line,WGS-ACHN_KIDNEY,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,ACHN_KIDNEY,cell culture,male,SRP186687,kidney
SRR8639172,78,WGS,GCA_000001405.13,202,121996354296,GNF,PRJNA523380,SAMN10987988,Human,62716136783,A-704,BROAD INSTITUTE,public,"bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",carcinoma (renal_cell_carcinoma),primary,African_american,SRX5437561,Illumina HiSeq 2000,cell line,WGS-A704_KIDNEY,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,A704_KIDNEY,cell culture,male,SRP186687,kidney
SRR8639173,58,WGS,GCA_000001405.13,202,132308964144,ATCC:A549,PRJNA523380,SAMN10988257,Human,67789723617,A549,BROAD INSTITUTE,public,"bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",carcinoma (non_small_cell_carcinoma),primary,Caucasian,SRX5437560,Illumina HiSeq 2000,cell line,WGS-A549_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,A549_LUNG,cell culture,male,SRP186687,lung
SRR8639180,57,WGS,GCA_000001405.13,177,156215556579,HSRRB,PRJNA523380,SAMN10987873,Human,86556551315,HARA,BROAD INSTITUTE,public,"sra,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",carcinoma (squamous_cell_carcinoma),metastasis,Asian,SRX5437553,Illumina HiSeq 2000,cell line,WGS-HARA_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HARA_LUNG,cell culture,male,SRP186687,lung
SRR8639198,45,WGS,GCA_000001405.13,202,137595462916,ECACC:ChaGo-K-1,PRJNA523380,SAMN10987978,Human,67203368670,ChaGo-K-1,BROAD INSTITUTE,public,"sra,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",carcinoma,primary,Caucasian,SRX5437535,Illumina HiSeq 2000,cell line,WGS-CHAGOK1_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,CHAGOK1_LUNG,cell culture,male,SRP186687,lung
SRR8639199,NA,WGS,GCA_000001405.13,202,129738668270,GNF,PRJNA523380,SAMN10987863,Human,70038248219,HGC-27,BROAD INSTITUTE,public,"bam,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",carcinoma (undifferentiated_adenocarcinoma),metastasis,Asian,SRX5437534,Illumina HiSeq 2000,cell line,WGS-HGC27_STOMACH,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,HGC27_STOMACH,cell culture,NA,SRP186687,stomach
SRR8639201,43,WGS,GCA_000001405.13,202,107144928880,DSMZ:CAL-120,PRJNA523380,SAMN10989564,Human,54920010045,CAL-120,BROAD INSTITUTE,public,"bam,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",carcinoma,metastasis,Caucasian,SRX5437532,Illumina HiSeq 2000,cell line,WGS-CAL120_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,CAL120_BREAST,cell culture,female,SRP186687,breast
SRR8639207,64,WGS,GCA_000001405.13,202,119863399330,DSMZ:BFTC-909,PRJNA523380,SAMN10988547,Human,55558439407,BFTC-909,BROAD INSTITUTE,public,"bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",carcinoma,primary,Asian,SRX5437526,Illumina HiSeq 2000,cell line,WGS-BFTC909_KIDNEY,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,BFTC909_KIDNEY,cell culture,male,SRP186687,kidney
SRR8639216,44,WGS,GCA_000001405.13,202,130128632502,ATCC:DMS 153,PRJNA523380,SAMN10988118,Human,62138173656,DMS 153,BROAD INSTITUTE,public,"sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5437517,Illumina HiSeq 2000,cell line,WGS-DMS153_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,DMS153_LUNG,cell culture,male,SRP186687,lung
SRR8639218,NA,WGS,GCA_000001405.13,202,120621417864,ATCC:Detroit 562,PRJNA523380,SAMN10988307,Human,64299390600,Detroit 562,BROAD INSTITUTE,public,"sra,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",carcinoma,metastasis,Caucasian,SRX5437515,Illumina HiSeq 2000,cell line,WGS-DETROIT562_UPPER_AERODIGESTIVE_TRACT,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,DETROIT562_UPPER_AERODIGESTIVE_TRACT,cell culture,female,SRP186687,upper_aerodigestive_tract
SRR8639221,55,WGS,GCA_000001405.13,202,109791513892,ECACC:COR-L88,PRJNA523380,SAMN10988006,Human,53436184573,COR-L88,BROAD INSTITUTE,public,"sra,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),primary,Caucasian,SRX5437512,Illumina HiSeq 2000,cell line,WGS-CORL88_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,CORL88_LUNG,cell culture,male,SRP186687,lung
SRR8639231,NA,WGS,GCA_000001405.13,202,118143960382,GNF,PRJNA523380,SAMN10987813,Human,63719558960,GCIY,BROAD INSTITUTE,public,"bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",carcinoma (adenocarcinoma),primary,Asian,SRX5437502,Illumina HiSeq 2000,cell line,WGS-GCIY_STOMACH,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,GCIY_STOMACH,cell culture,female,SRP186687,stomach
SRR8639238,31,WGS,GCA_000001405.13,202,121791477412,ATCC:G-361,PRJNA523380,SAMN10988270,Human,64209196020,G-361,BROAD INSTITUTE,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",malignant_melanoma,primary,Caucasian,SRX5437495,Illumina HiSeq 2000,cell line,WGS-G361_SKIN,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,G361_SKIN,cell culture,male,SRP186687,skin
SRR8670668,81,WGS,GCA_000001405.13,202,102955983372,NIBRI,PRJNA523380,SAMN10988334,Human,46845960495,SW948,BROAD INSTITUTE,public,"sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",carcinoma (adenocarcinoma),primary,Caucasian,SRX5466712,Illumina HiSeq 2000,cell line,WGS-SW948_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW948_LARGE_INTESTINE,cell culture,female,SRP186687,large_intestine
SRR8670673,72,WGS,GCA_000001405.13,202,125646034342,NIBRI,PRJNA523380,SAMN10988370,Human,65325605195,T84,BROAD INSTITUTE,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5466707,Illumina HiSeq 2000,cell line,WGS-T84_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,T84_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine
SRR8670674,54,WGS,GCA_000001405.13,202,124831699420,ATCC:T-47D,PRJNA523380,SAMN10987684,Human,62970989456,T-47D,BROAD INSTITUTE,public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",carcinoma (ductal_carcinoma),metastasis,Caucasian,SRX5466706,Illumina HiSeq 2000,cell line,WGS-T47D_BREAST,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,T47D_BREAST,cell culture,female,SRP186687,breast
SRR8670675,1,WGS,GCA_000001405.13,202,149307071032,NIBRI,PRJNA523380,SAMN10987847,Human,77479915714,THP-1,BROAD INSTITUTE,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public","haematopoietic_neoplasm (acute_myeloid_leukaemia\, M5)",primary,Asian,SRX5466705,Illumina HiSeq 2000,cell line,WGS-THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
