"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"21","chr10",87894819,87894839,21,"*","chr10_f_c254[k=167][m=167]",167,"+","Intron (ENST00000371953.8/5728, intron 2 of 8)",10,87864468,87894326,29859,1,"5728","ENST00000462694.1",30351
"22","chr10",99830731,99830751,21,"*","chr10_f_c307[k=167][m=166]",166,"+","Exon (ENST00000647814.1/1244, exon 21 of 32)",10,99843710,99850713,7004,1,"1244","ENST00000649459.1",-12959
"23","chr2",242143516,242143536,21,"*","chr2_f_c613[k=169][m=165]",165,"+","Intron (ENST00000622435.4/728323, intron 4 of 4)",2,242131842,242175997,44156,1,"728323","ENST00000683938.1",11674
"24","chr6",121222260,121222280,21,"*","chr6_r_c306[k=163][m=163]",163,"-","Intron (ENST00000398197.6/221322, intron 2 of 11)",6,121079494,121237062,157569,2,"221322","ENST00000398197.6",14782
"25","chr17",40457662,40457682,21,"*","chr17_f_c187[k=302][m=163]",163,"+","3' UTR",17,40443450,40457725,14276,1,"3487","ENST00000269593.5",14212
"26","chr1",222402831,222402851,21,"*","chr1_f_c789[k=163][m=162]",162,"+","Distal Intergenic",1,222479174,222486207,7034,2,"105372956","ENST00000617077.1",83356
"27","chr2",169612247,169612267,21,"*","chr2_f_c387[k=170][m=161]",161,"+","Intron (ENST00000414307.6/9360, intron 7 of 11)",2,169604040,169630815,26776,1,"9360","ENST00000417938.2",8207
"28","chr7",116561128,116561148,21,"*","chr7_f_c340[k=275][m=161]",161,"+","3' UTR",7,116570960,116573744,2785,2,"100996266","ENST00000450063.1",12596
"29","chr20",35634331,35634351,21,"*","chr20_r_c83[k=161][m=159]",159,"-","Promoter (1-2kb)",20,35626086,35632554,6469,2,"8904","ENST00000483495.5",-1777
"30","chr22",17958641,17958661,21,"*","chr22_r_c13[k=158][m=157]",157,"-","Intron (ENST00000441493.7/57553, intron 1 of 31)",22,17980868,17980961,94,2,"693233","ENST00000385046.1",22300
"31","chr15",80092248,80092268,21,"*","chr15_f_c210[k=156][m=156]",156,"+","Intron (ENST00000613266.4/54469, intron 2 of 6)",15,80075191,80131294,56104,1,"54469","ENST00000558724.1",17057
"32","chr1",116031913,116031933,21,"*","chr1_f_c431[k=154][m=154]",154,"+","Promoter (<=1kb)",1,116032677,116037527,4851,1,"55356","ENST00000481127.1",-744
"33","chr10",86437271,86437291,21,"*","chr10_r_c236[k=152][m=152]",152,"-","3' UTR",10,86435256,86444032,8777,2,"23063","ENST00000484070.1",6741
"34","chr15",61210918,61210938,21,"*","chr15_r_c129[k=152][m=152]",152,"-","Intron (ENST00000335670.11/6095, intron 1 of 10)",15,60511294,61229133,717840,2,"6095","ENST00000551975.5",18195
"35","chr12",19691575,19691595,21,"*","chr12_f_c100[k=151][m=151]",151,"+","Intron (ENST00000512223.6/121536, intron 4 of 4)",12,19500129,19553272,53144,1,"121536","ENST00000398731.3",191446
"36","chr11",65433938,65433958,21,"*","chr11_f_c236[k=154][m=151]",151,"+","Exon (ENST00000501122.2/283131, exon 1 of 1)",11,65423960,65424118,159,1,"283131","ENST00000613347.1",9978
"37","chr4",89051565,89051585,21,"*","chr4_r_c202[k=148][m=147]",147,"-","Intron (ENST00000264344.10/10144, intron 1 of 23)",4,88855367,89057150,201784,2,"10144","ENST00000512339.5",5565
"38","chr12",10898654,10898674,21,"*","chr12_r_c29[k=146][m=146]",146,"-","Intron (ENST00000536668.2/100533464, intron 4 of 9)",12,10907926,10909562,1637,2,"50838","ENST00000390677.2",10888
"39","chr13",45337179,45337199,21,"*","chr13_r_c88[k=162][m=145]",145,"-","Promoter (<=1kb)",13,45337480,45337609,130,2,"677814","ENST00000362607.1",410
"40","chr8",108216413,108216433,21,"*","chr8_r_c242[k=154][m=144]",144,"-","Promoter (<=1kb)",8,108201827,108217092,15266,2,"3646","ENST00000677524.1",659
"41","chr16",18806808,18806828,21,"*","chr16_r_c91[k=143][m=143]",143,"-","3' UTR",16,18798171,18801572,3402,2,"23204","ENST00000566391.1",-5236
"42","chr10",100950110,100950130,21,"*","chr10_f_c329[k=146][m=142]",142,"+","3' UTR",10,100943654,100945356,1703,1,"55719","ENST00000481654.1",6456
"43","chr11",10797069,10797089,21,"*","chr11_r_c66[k=206][m=142]",142,"-","Promoter (2-3kb)",11,10798743,10799361,619,2,"1982","ENST00000534470.1",2272
"44","chr14",21264286,21264306,21,"*","chr14_r_c10[k=141][m=141]",141,"-","Promoter (1-2kb)",14,21210556,21265516,54961,2,"3183","ENST00000430246.6",1210
"45","chr21",37140792,37140812,21,"*","chr21_f_c86[k=141][m=141]",141,"+","Intron (ENST00000418766.5/7267, intron 20 of 32)",21,37144560,37153277,8718,1,"7267","ENST00000414818.1",-3748
"46","chr20",63639713,63639733,21,"*","chr20_r_c188[k=142][m=141]",141,"-","3' UTR",20,63627250,63628707,1458,1,"100505771","ENST00000411579.1",12463
"47","chr3",105557703,105557723,21,"*","chr3_f_c304[k=144][m=141]",141,"+","Intron (ENST00000306107.9/214, intron 14 of 15)",3,105550220,105553171,2952,1,"214","ENST00000489178.1",7483
"48","chr7",76353040,76353060,21,"*","chr7_r_c181[k=140][m=140]",140,"-","Intron (ENST00000307630.5/7532, intron 1 of 1)",7,76326799,76358991,32193,2,"7532","ENST00000307630.5",5931
"49","chr2",70987142,70987162,21,"*","chr2_r_c207[k=139][m=139]",139,"-","Promoter (2-3kb)",2,70985944,70989721,3778,2,"113419","ENST00000478068.1",2559
"50","chr5",148286997,148287017,21,"*","chr5_r_c298[k=138][m=138]",138,"-","Intron (ENST00000667608.1/102546294, intron 2 of 4)",5,148268860,148286210,17351,1,"153218","ENST00000511106.5",18137
"51","chr11",65499728,65499748,21,"*","chr11_f_c282[k=826][m=138]",138,"+","Promoter (1-2kb)",11,65497762,65506469,8708,1,"378938","ENST00000534336.1",1966
"52","chr1",226993558,226993578,21,"*","chr1_r_c785[k=137][m=137]",137,"-","3' UTR",1,226983007,226987544,4538,1,"56997","ENST00000479852.1",10551
"53","chr13",112912191,112912211,21,"*","chr13_f_c203[k=138][m=136]",136,"+","Intron (ENST00000375608.7/23263, intron 2 of 29)",13,112902195,112958164,55970,1,"23263","ENST00000442625.2",9996
"54","chr5",33439819,33439839,21,"*","chr5_r_c51[k=134][m=134]",134,"-","Promoter (<=1kb)",5,33424025,33440619,16595,2,"107986411","ENST00000507251.1",780
"55","chr13",98023000,98023020,21,"*","chr13_f_c152[k=135][m=134]",134,"+","3' UTR",13,98019579,98021411,1833,1,"3843","ENST00000493122.1",3421
"56","chr20",33843131,33843151,21,"*","chr20_f_c75[k=132][m=132]",132,"+","Intron (ENST00000217402.3/128866, intron 1 of 4)",20,33811348,33854366,43019,1,"128866","ENST00000217402.3",31783
"57","chr22",10782458,10782478,21,"*","chr22_r_c0[k=131][m=131]",131,"-","Distal Intergenic",22,10939388,10961338,21951,2,"102723780","ENST00000635667.1",178860
"58","chr5",43575669,43575689,21,"*","chr5_r_c71[k=131][m=131]",131,"-","Exon (ENST00000513560.7/100652772, exon 3 of 3)",5,43547728,43557758,10031,2,"10605","ENST00000515338.1",-17911
"59","chr6",85677108,85677128,21,"*","chr6_r_c217[k=131][m=131]",131,"-","Promoter (<=1kb)",6,85677589,85677658,70,2,"692088","ENST00000364995.1",530
"60","chr11",65854864,65854884,21,"*","chr11_r_c215[k=129][m=129]",129,"-","Promoter (1-2kb)",11,65855418,65856473,1056,2,"1072","ENST00000530413.1",1589
"61","chr3",45508141,45508161,21,"*","chr3_f_c156[k=129][m=129]",129,"+","Promoter (1-2kb)",3,45483974,45509545,25572,2,"100885795","ENST00000442534.2",1384
"62","chr9",124396658,124396678,21,"*","chr9_r_c237[k=130][m=129]",129,"-","Intron (ENST00000259457.8/5695, intron 5 of 7)",9,124383622,124384656,1035,2,"5695","ENST00000478817.1",-12002
"63","chr15",64963044,64963064,21,"*","chr15_r_c158[k=137][m=129]",129,"-","3' UTR",15,64963027,64981627,18601,2,"51324","ENST00000559199.5",18563
"64","chr3",150609033,150609053,21,"*","chr3_f_c428[k=128][m=128]",128,"+","Intron (ENST00000480740.5/51714, intron 1 of 5)",3,150603336,150627905,24570,1,"51714","ENST00000485923.1",5697
"65","chr11",64214714,64214734,21,"*","chr11_r_c203[k=129][m=128]",128,"-","Intron (ENST00000544997.5/83706, intron 6 of 6)",11,64211704,64220016,8313,1,"83706","ENST00000546255.1",3010
"66","chr16",23581029,23581049,21,"*","chr16_r_c115[k=131][m=128]",128,"-","3' UTR",16,23582335,23591153,8819,2,"4706","ENST00000567761.1",10104
"67","chr11",108709362,108709382,21,"*","chr11_f_c575[k=127][m=127]",127,"+","Intron (ENST00000648124.1/1662, intron 10 of 19)",11,108665122,108922243,257122,1,"1662","ENST00000526794.1",44240
"68","chr4",70751727,70751747,21,"*","chr4_f_c184[k=127][m=127]",127,"+","Intron (ENST00000503876.5/22902, intron 1 of 4)",4,70734434,70807102,72669,1,"22902","ENST00000502653.5",17293
"69","chr20",17984959,17984979,21,"*","chr20_f_c39[k=131][m=127]",127,"+","Intron (ENST00000377710.10/92667, intron 3 of 4)",20,17970057,17990231,20175,1,"92667","ENST00000467391.1",14902
"70","chr15",42415228,42415248,21,"*","chr15_r_c55[k=135][m=127]",127,"-","3' UTR",15,42410615,42412315,1701,1,"825","ENST00000567817.6",4613
"71","chr19",37709457,37709477,21,"*","chr19_r_c161[k=139][m=127]",127,"-","Intron (ENST00000585547.5/84775, intron 1 of 4)",19,37689883,37719125,29243,2,"84775","ENST00000586606.6",9648
"72","chr4",143045377,143045397,21,"*","chr4_r_c315[k=127][m=126]",126,"-","Exon (ENST00000512793.1/ENST00000512793.1, exon 1 of 1)",4,143176990,143184689,7700,2,"105377623","ENST00000657857.1",139292
"73","chrX",149529159,149529179,21,"*","chrX_r_c367[k=128][m=126]",126,"-","Promoter (2-3kb)",23,149511509,149526264,14756,2,"105373366","ENST00000370438.2",-2895
"74","chr19",18575184,18575204,21,"*","chr19_f_c147[k=128][m=125]",125,"+","Promoter (1-2kb)",19,18573376,18575241,1866,1,"7311","ENST00000594527.1",1808
"75","chr8",115577898,115577918,21,"*","chr8_r_c276[k=124][m=124]",124,"-","Intron (ENST00000640765.1/7227, intron 4 of 5)",8,115413814,115620070,206257,2,"7227","ENST00000519076.5",42152
"76","chr14",39166973,39166993,21,"*","chr14_r_c67[k=125][m=124]",124,"-","Intron (ENST00000469361.5/122553, intron 1 of 4)",14,39149990,39170314,20325,2,"122553","ENST00000557764.5",3321
"77","chrX",24077819,24077839,21,"*","chrX_f_c45[k=129][m=124]",124,"+","3' UTR",23,24071713,24073528,1816,1,"1968","ENST00000460032.1",6106
"78","chr12",42313938,42313958,21,"*","chr12_r_c99[k=234][m=124]",124,"-","Promoter (<=1kb)",12,42312211,42314262,2052,2,"85437","ENST00000678543.1",304
"79","chr10",77791515,77791535,21,"*","chr10_r_c218[k=123][m=123]",123,"-","3' UTR",10,77806796,77807977,1182,2,"9231","ENST00000484525.1",16442
"80","chr18",74771980,74772000,21,"*","chr18_f_c153[k=123][m=123]",123,"+","Intron (ENST00000582337.5/55628, intron 3 of 4)",18,74877198,74905938,28741,1,"55628","ENST00000584235.5",-105198
"81","chr14",103496271,103496291,21,"*","chr14_f_c289[k=122][m=122]",122,"+","Promoter (2-3kb)",14,103498865,103503827,4963,1,"4140","ENST00000555235.1",-2574
"82","chr14",96515902,96515922,21,"*","chr14_f_c242[k=122][m=122]",122,"+","Intron (ENST00000554887.5/10914, intron 1 of 4)",14,96521016,96531731,10716,1,"10914","ENST00000557406.5",-5094
"83","chr15",51456747,51456767,21,"*","chr15_r_c92[k=122][m=122]",122,"-","Promoter (<=1kb)",15,51453248,51456318,3071,2,"23312","ENST00000559868.1",-429
"84","chr10",102991779,102991799,21,"*","chr10_f_c349[k=121][m=121]",121,"+","Intron (ENST00000369878.9/54805, intron 1 of 7)",10,102918357,103078351,159995,1,"54805","ENST00000433628.2",73422
"85","chr14",20472085,20472105,21,"*","chr14_f_c3[k=121][m=121]",121,"+","Promoter (1-2kb)",14,20473384,20477087,3704,1,"4860","ENST00000556754.1",-1279
"86","chr18",58302360,58302380,21,"*","chr18_f_c122[k=121][m=121]",121,"+","Intron (ENST00000400345.8/23327, intron 5 of 30)",18,58291202,58398154,106953,1,"23327","ENST00000674517.1",11158
"87","chr11",57780669,57780689,21,"*","chr11_f_c156[k=120][m=120]",120,"+","Promoter (<=1kb)",11,57781603,57796584,14982,1,"100528016","ENST00000530068.5",-914
"88","chr4",39065059,39065079,21,"*","chr4_f_c95[k=132][m=120]",120,"+","Promoter (2-3kb)",4,39062940,39081182,18243,1,"51088","ENST00000514399.1",2119
"89","chr10",109895780,109895800,21,"*","chr10_r_c290[k=119][m=119]",119,"-","Promoter (2-3kb)",10,109888098,109893493,5396,2,"7511","ENST00000502595.5",-2287
"90","chr13",44505253,44505273,21,"*","chr13_r_c80[k=119][m=119]",119,"-","Intron (ENST00000458659.3/8848, intron 1 of 2)",13,44432143,44474301,42159,2,"8848","ENST00000611198.4",-30952
"91","chr16",3688052,3688072,21,"*","chr16_r_c35[k=118][m=118]",118,"-","Promoter (1-2kb)",16,3666082,3689075,22994,2,"10131","ENST00000576335.5",1003
"92","chr2",74360441,74360461,21,"*","chr2_r_c227[k=117][m=117]",117,"-","Promoter (2-3kb)",2,74362051,74362929,879,2,"1639","ENST00000492717.1",2468
"93","chr2",235681527,235681547,21,"*","chr2_f_c560[k=118][m=117]",117,"+","Intron (ENST00000304032.13/116987, intron 1 of 17)",2,235669604,236126554,456951,1,"116987","ENST00000409538.5",11923
"94","chr2",29118294,29118314,21,"*","chr2_f_c82[k=116][m=116]",116,"+","Promoter (<=1kb)",2,29118195,29135662,17468,1,"79745","ENST00000449202.5",99
"95","chrX",44983021,44983041,21,"*","chrX_f_c90[k=117][m=116]",116,"+","Intron (ENST00000676062.1/7403, intron 4 of 29)",23,45018066,45112542,94477,1,"7403","ENST00000675525.1",-35025
"96","chr17",51171642,51171662,21,"*","chr17_f_c246[k=119][m=116]",116,"+","Promoter (2-3kb)",17,51169383,51171608,2226,1,"4831","ENST00000573262.1",2259
"97","chr14",37704382,37704402,21,"*","chr14_f_c55[k=115][m=115]",115,"+","Intron (ENST00000533625.5/319089, intron 6 of 18)",14,37772383,37842694,70312,1,"319089","ENST00000476979.5",-67981
"98","chr3",197607585,197607605,21,"*","chr3_r_c549[k=115][m=115]",115,"-","Intron (ENST00000453454.5/220729, intron 2 of 5)",3,197578213,197615660,37448,2,"220729","ENST00000453454.5",8055
"99","chr7",70498183,70498203,21,"*","chr7_f_c198[k=115][m=115]",115,"+","Intron (ENST00000644939.1/26053, intron 5 of 18)",7,70596085,70792485,196401,1,"26053","ENST00000644506.1",-97882
"100","chr14",92023948,92023968,21,"*","chr14_r_c187[k=116][m=115]",115,"-","Intron (ENST00000267622.8/9321, intron 3 of 20)",14,91969513,92015751,46239,2,"9321","ENST00000554357.5",-8197
"101","chr11",65505899,65505919,21,"*","chr11_f_c410[k=244][m=115]",115,"+","Promoter (<=1kb)",11,65506117,65506173,57,1,"109136578","ENST00000611300.1",-198
"102","chr11",65501651,65501671,21,"*","chr11_f_c320[k=284][m=115]",115,"+","Promoter (<=1kb)",11,65501848,65503609,1762,1,"378938","ENST00000508832.2",-177
"103","chr10",114173205,114173225,21,"*","chr10_r_c293[k=114][m=114]",114,"-","Promoter (<=1kb)",10,114174105,114174179,75,2,"100302224","ENST00000459421.1",954
"104","chr16",84053762,84053782,21,"*","chr16_r_c248[k=118][m=114]",114,"-","3' UTR",16,84053761,84058044,4284,2,"8720","ENST00000562906.2",4262
"105","chr15",80088628,80088648,21,"*","chr15_f_c209[k=113][m=113]",113,"+","Intron (ENST00000613266.4/54469, intron 2 of 6)",15,80075191,80131294,56104,1,"54469","ENST00000558724.1",13437
"106","chr21",36219437,36219457,21,"*","chr21_f_c83[k=113][m=113]",113,"+","Exon (ENST00000399151.3/9980, exon 10 of 37)",21,36246301,36261915,15615,1,"9980","ENST00000463668.1",-26844
"107","chr4",15652722,15652742,21,"*","chr4_r_c69[k=113][m=113]",113,"-","Promoter (2-3kb)",4,15636373,15655295,18923,2,"26234","ENST00000504837.1",2553
"108","chr4",25391358,25391378,21,"*","chr4_f_c80[k=113][m=113]",113,"+","Promoter (2-3kb)",4,25393861,25395420,1560,1,"29945","ENST00000507925.1",-2483
"109","chr5",1628786,1628806,21,"*","chr5_r_c14[k=113][m=113]",113,"-","Exon (ENST00000512335.5/728613, exon 4 of 8)",5,1602691,1633906,31216,2,"728613","ENST00000502273.6",5100
"110","chr6",143334431,143334451,21,"*","chr6_f_c382[k=113][m=113]",113,"+","Intron (ENST00000646199.1/51390, intron 5 of 5)",6,143422832,143441977,19146,2,"134637","ENST00000606514.5",107526
"111","chr12",100043558,100043578,21,"*","chr12_r_c301[k=112][m=112]",112,"-","Intron (ENST00000548712.5/23074, intron 2 of 3)",12,100028455,100048196,19742,2,"23074","ENST00000548712.5",4618
"112","chr14",96387118,96387138,21,"*","chr14_f_c241[k=112][m=112]",112,"+","3' UTR",14,96392128,96489427,97300,1,"122481","ENST00000267584.9",-4990
"113","chr15",73713304,73713324,21,"*","chr15_f_c182[k=112][m=112]",112,"+","Promoter (2-3kb)",15,73711132,73714514,3383,1,"80381","ENST00000559465.1",2172
"114","chr7",149288037,149288057,21,"*","chr7_f_c470[k=112][m=112]",112,"+","Promoter (<=1kb)",7,149287699,149297312,9614,1,"155060","ENST00000416232.5",338
"115","chr12",111496225,111496245,21,"*","chr12_r_c327[k=111][m=111]",111,"-","Intron (ENST00000642389.2/6311, intron 14 of 26)",12,111452214,111488612,36399,2,"6311","ENST00000389154.7",-7613
"116","chr17",31303776,31303796,21,"*","chr17_r_c132[k=111][m=111]",111,"-","3' UTR",17,31294647,31297239,2593,2,"4974","ENST00000247271.5",-6537
"117","chr9",71850927,71850947,21,"*","chr9_r_c99[k=111][m=111]",111,"-","Distal Intergenic",9,71750319,71816690,66372,2,"23670","ENST00000545719.1",-34237
"118","chr10",142108,142128,21,"*","chr10_f_c0[k=113][m=111]",111,"+","Intron (ENST00000439456.5/10771, intron 1 of 4)",10,135519,254517,118999,1,"10771","ENST00000397955.7",6589
"119","chr16",88706452,88706472,21,"*","chr16_r_c277[k=113][m=111]",111,"-","Promoter (<=1kb)",16,88706483,88715320,8838,1,"348180","ENST00000564105.5",-11
"120","chr6",7236798,7236818,21,"*","chr6_f_c43[k=115][m=111]",111,"+","Intron (ENST00000379933.7/6239, intron 10 of 11)",6,7230642,7250012,19371,1,"6239","ENST00000611109.1",6156
"121","chr11",65425071,65425091,21,"*","chr11_f_c207[k=160][m=111]",111,"+","Promoter (1-2kb)",11,65423960,65424118,159,1,"283131","ENST00000613347.1",1111
"122","chr20",35462285,35462305,21,"*","chr20_f_c90[k=110][m=110]",110,"+","Promoter (<=1kb)",20,35462265,35478063,15799,1,"11190","ENST00000425934.5",20
"123","chr22",17890975,17890995,21,"*","chr22_r_c8[k=110][m=110]",110,"-","Intron (ENST00000441493.7/57553, intron 12 of 31)",22,17860163,17895288,35126,2,"57553","ENST00000461307.5",4293
"124","chr22",33760268,33760288,21,"*","chr22_r_c112[k=109][m=109]",109,"-","Promoter (1-2kb)",22,33162226,33761476,599251,2,"9215","ENST00000608642.6",1188
"125","chr2",36562488,36562508,21,"*","chr2_r_c83[k=109][m=109]",109,"-","Promoter (<=1kb)",2,36552783,36561498,8716,2,"9637","ENST00000487919.5",-990
"126","chr3",97967513,97967533,21,"*","chr3_r_c259[k=109][m=109]",109,"-","Promoter (<=1kb)",3,97947416,97967623,20208,2,"84864","ENST00000514314.5",90
"127","chr8",115546903,115546923,21,"*","chr8_r_c268[k=109][m=109]",109,"-","Intron (ENST00000640765.1/7227, intron 4 of 5)",8,115414429,115492221,77793,2,"7227","ENST00000518018.1",-54682
"128","chr8",8849100,8849120,21,"*","chr8_r_c11[k=110][m=109]",109,"-","Intron (ENST00000276282.7/9258, intron 1 of 2)",8,8785759,8860031,74273,2,"9258","ENST00000521881.5",10911
"129","chr16",4647461,4647481,21,"*","chr16_f_c89[k=111][m=109]",109,"+","Promoter (2-3kb)",16,4650387,4680067,29681,1,"23295","ENST00000590790.5",-2906
"130","chr18",13088985,13089005,21,"*","chr18_f_c37[k=112][m=109]",109,"+","Promoter (1-2kb)",18,13087149,13095685,8537,1,"55125","ENST00000508150.2",1836
"131","chr1",87001393,87001413,21,"*","chr1_f_c309[k=125][m=109]",109,"+","Intron (ENST00000370550.10/9653, intron 1 of 6)",1,86993009,87169204,176196,1,"339524","ENST00000370548.3",8384
"132","chr17",42314935,42314955,21,"*","chr17_r_c182[k=108][m=108]",108,"-","Promoter (2-3kb)",17,42314848,42317515,2668,2,"6774","ENST00000462286.3",2560
"133","chr19",4059298,4059318,21,"*","chr19_r_c50[k=108][m=108]",108,"-","Intron (ENST00000322357.9/51341, intron 1 of 2)",19,4047742,4065732,17991,2,"51341","ENST00000601588.1",6414
"134","chr20",16281914,16281934,21,"*","chr20_r_c25[k=108][m=108]",108,"-","Intron (ENST00000636835.1/55614, intron 24 of 24)",20,16366843,16370636,3794,2,"55614","ENST00000635823.1",88702
"135","chr8",144268359,144268379,21,"*","chr8_f_c278[k=108][m=108]",108,"+","Promoter (1-2kb)",8,144266453,144268481,2029,1,"642658","ENST00000567180.3",1906
"136","chr5",100852235,100852255,21,"*","chr5_r_c187[k=116][m=108]",108,"-","Intron (ENST00000231461.10/7903, intron 4 of 4)",5,100816482,100816565,84,2,"100302288","ENST00000408336.1",-35670
"137","chr2",213001607,213001627,21,"*","chr2_r_c525[k=107][m=107]",107,"-","3' UTR",2,213006039,213015278,9240,2,"22807","ENST00000484040.1",13651
"138","chr2",43940100,43940120,21,"*","chr2_r_c108[k=107][m=107]",107,"-","Intron (ENST00000260665.12/10128, intron 23 of 37)",2,43923721,43943894,20174,2,"10128","ENST00000684397.1",3774
"139","chr3",105416388,105416408,21,"*","chr3_f_c302[k=107][m=107]",107,"+","Intron (ENST00000306107.9/214, intron 1 of 15)",3,105439338,105545310,105973,1,"214","ENST00000481337.5",-22930
"140","chr17",47427346,47427366,21,"*","chr17_f_c213[k=106][m=106]",106,"+","Intron (ENST00000331493.7/124989, intron 23 of 24)",17,47377816,47414975,37160,1,"124989","ENST00000523842.1",49530
"141","chr18",9263328,9263348,21,"*","chr18_f_c20[k=106][m=106]",106,"+","Intron (ENST00000262126.9/23253, intron 9 of 12)",18,9216780,9256111,39332,1,"23253","ENST00000359158.7",46548
"142","chr5",115613800,115613820,21,"*","chr5_r_c226[k=106][m=106]",106,"-","Promoter (2-3kb)",5,115580827,115616564,35738,2,"100302736","ENST00000514548.1",2744
"143","chr10",34426663,34426683,21,"*","chr10_r_c104[k=107][m=106]",106,"-","Promoter (<=1kb)",10,34312264,34426731,114468,2,"56288","ENST00000544292.5",48
"144","chr1",178797922,178797942,21,"*","chr1_f_c634[k=107][m=106]",106,"+","Intron (ENST00000367634.6/55103, intron 4 of 18)",1,178865434,178869278,3845,2,"9068","ENST00000444255.1",71336
"145","chrX",108721117,108721137,21,"*","chrX_r_c253[k=108][m=106]",106,"-","3' UTR",23,108736011,108737459,1449,1,"101928358","ENST00000608811.1",-14874
"146","chr18",39618990,39619010,21,"*","chr18_r_c77[k=105][m=105]",105,"-","Intron (ENST00000669399.1/647946, intron 1 of 3)",18,39622123,39622175,53,2,"100126323","ENST00000638017.1",3165
"147","chr4",115113381,115113401,21,"*","chr4_r_c269[k=105][m=105]",105,"-","Promoter (<=1kb)",4,114827763,115113620,285858,2,"64579","ENST00000264363.7",219
